央视,#genre#
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
凤凰卫视,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
影视,#genre#
CCTV6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6电影HD,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV6电影HD,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2/index.m3u8
CCTV6电影HD,http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京影视HD,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC蓝光电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
欧美影院,http://101.71.255.229:6610/zjhs/2/10037/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10037&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=Q894B3E8EEZ3T19UG09L8B03GSWB&ts=1553493266
BEST电影,http://101.71.255.229:6610/zjhs/2/10037/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
精彩电影4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
轮播,#genre#
欢笑剧场4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
MTV音乐,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
【陈翔六点半】咻咻咻~6点半加速,http://tx2play1.douyucdn.cn/2132902ryJGqBvIY.m3u8
【开心情景剧】超清去片头片尾,http://tx2play1.douyucdn.cn/6648727rufz9EgZB.m3u8
【周星驰】星爷 华语 经典 电影 神乐,http://tx2play1.douyucdn.cn/122402rK7MO9bXSq.m3u8
【周星驰】星爷 华语 经典 电影 神乐,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq.flv
【神乐】华语 经典 电影 刘德华 周星驰,http://tx2play1.douyucdn.cn/85894rmovieChow.m3u8
【神乐】华语 经典 电影 刘德华 周星驰,http://tx2play1.douyucdn.cn/live/85894rmovieChow.flv
【电影可乐】 欧美 电影 科幻 经典 动作,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
【香港赌片】喜剧、黑帮、动作、武侠、经典,http://tx2play1.douyucdn.cn/315457rl7deAeJRY.m3u8
【华语厅】经典 60帧 周星驰 刘德华,http://tx2play1.douyucdn.cn/925724rVSokLSx8V.m3u8
【花卷陪看】60帧豆瓣高分电影,http://tx2play1.douyucdn.cn/52787rjQLQjpEeqM.m3u8
【小鸽陪看】动作 枪战 经典 科幻,http://tx2play1.douyucdn.cn/3928r9p0BHMDG.m3u8
【小鸽陪看】动作 枪战 经典 科幻,http://tx2play1.douyucdn.cn/live/3928r9p0BHMDG.flv
【动漫】热血 木叶忍者 草帽路飞 青春,http://tx2play1.douyucdn.cn/206858rtesHKjl.m3u8
【恐怖电影】鬼片 僵尸 灾难 丧尸片,http://tx2play1.douyucdn.cn/310926r5IdslVXSq.m3u8
【话事人】粤语【周星驰】【林正英】,http://tx2play1.douyucdn.cn/5033502rKAhPWDWm.m3u8
【超清1】经典港剧天地,http://tx2play1.douyucdn.cn/4290711r58wJsHRc.m3u8
【港剧】最早港剧点播,http://tx2play1.douyucdn.cn/59612r31C412x8TG.m3u8
【小U】丧尸 鬼片 恐怖 惊悚 电影,http://tx2play1.douyucdn.cn/96577r1OmOqTijOe.m3u8
【贝爷影厅】经典 科幻 动作 灾难 巨兽,http://tx2play1.douyucdn.cn/252802rWyXFfFLys.m3u8
【贝爷MAX厅】科幻 动作 经典,http://tx2play1.douyucdn.cn/4332rGIgKRgNqQn7.m3u8
【s1134】经典 科幻 动作 灾难,http://tx2play1.douyucdn.cn/248753rhwj2viBip.m3u8
爱TV,#genre#
爱江湖,http://101.71.255.229:6610/zjhs/2/10114/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱军武,http://101.71.255.229:6610/zjhs/2/10119/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
